"record_id","specimen_id","site_id","taxon","site","longitude","latitude","coordinate_uncertainty_km","date_type","age_14c_bp","error_14c_bp","cal_young_bp","cal_old_bp","calibration_reference","lab_code","material","quality_class","include","exclusion_reason","reference","notes"
"DEMO_01","DEMO_01","SITE_01","Synthetic species","SITE_01",120,35,0,"calibrated_range",,,1200,1400,"Synthetic example only",,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_02","DEMO_02","SITE_02","Synthetic species","SITE_02",10,40,0,"radiocarbon",1950,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_03","DEMO_03","SITE_03","Synthetic species","SITE_03",80,50,0,"radiocarbon",1000,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_04","DEMO_04","SITE_04","Synthetic species","SITE_04",50,35,0,"radiocarbon",600,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_05","DEMO_05","SITE_05","Synthetic species","SITE_05",110,45,0,"radiocarbon",800,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_06","DEMO_06","SITE_06","Synthetic species","SITE_06",90,50,0,"radiocarbon",750,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_07","DEMO_07","SITE_07","Synthetic species","SITE_07",60,35,0,"radiocarbon",1550,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_08","DEMO_08","SITE_08","Synthetic species","SITE_08",0,50,0,"radiocarbon",1400,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_09","DEMO_09","SITE_09","Synthetic species","SITE_09",80,45,0,"radiocarbon",800,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_10","DEMO_10","SITE_10","Synthetic species","SITE_10",100,55,0,"radiocarbon",1400,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_11","DEMO_11","SITE_11","Synthetic species","SITE_11",20,45,0,"radiocarbon",900,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_12","DEMO_12","SITE_12","Synthetic species","SITE_12",30,50,0,"radiocarbon",1350,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_13","DEMO_13","SITE_13","Synthetic species","SITE_13",120,55,0,"radiocarbon",1300,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_14","DEMO_14","SITE_14","Synthetic species","SITE_14",70,55,0,"radiocarbon",1500,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_15","DEMO_15","SITE_15","Synthetic species","SITE_15",50,40,0,"radiocarbon",1850,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_16","DEMO_16","SITE_16","Synthetic species","SITE_16",120,40,0,"radiocarbon",1800,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_17","DEMO_17","SITE_17","Synthetic species","SITE_17",40,40,0,"radiocarbon",1250,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_18","DEMO_18","SITE_18","Synthetic species","SITE_18",10,35,0,"radiocarbon",1150,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_19","DEMO_19","SITE_19","Synthetic species","SITE_19",120,50,0,"radiocarbon",1250,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_20","DEMO_20","SITE_20","Synthetic species","SITE_20",0,40,0,"radiocarbon",1700,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_21","DEMO_21","SITE_21","Synthetic species","SITE_21",90,45,0,"radiocarbon",1500,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_22","DEMO_22","SITE_22","Synthetic species","SITE_22",120,45,0,"radiocarbon",600,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_23","DEMO_23","SITE_23","Synthetic species","SITE_23",60,50,0,"radiocarbon",1950,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_24","DEMO_24","SITE_24","Synthetic species","SITE_24",40,55,0,"radiocarbon",650,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_25","DEMO_25","SITE_25","Synthetic species","SITE_25",30,55,0,"radiocarbon",900,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_26","DEMO_26","SITE_26","Synthetic species","SITE_26",130,55,0,"radiocarbon",1700,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_27","DEMO_27","SITE_27","Synthetic species","SITE_27",50,50,0,"radiocarbon",1000,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_28","DEMO_28","SITE_28","Synthetic species","SITE_28",130,45,0,"radiocarbon",1850,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_29","DEMO_29","SITE_29","Synthetic species","SITE_29",10,50,0,"radiocarbon",2000,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_30","DEMO_30","SITE_30","Synthetic species","SITE_30",10,55,0,"radiocarbon",1800,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_31","DEMO_31","SITE_31","Synthetic species","SITE_31",130,50,0,"radiocarbon",1400,40,,,,,"synthetic bone","teaching_only",TRUE,,"Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
"DEMO_32","DEMO_32","SITE_32","Synthetic species","SITE_32",20,50,0,"radiocarbon",1850,40,,,,,"synthetic bone","teaching_only",FALSE,"Example quality exclusion","Generated by examples/make_demo.R; not real fossils","SYNTHETIC"
